TotalDelayArrivalFlights,TotalArrivalFlights,DepartureFlightArrivalRatio
32.0,181,0.176795580110497
188.0,1445,0.130103806228374
3,62,0.0483870967741936
13,80,0.1625
13,146,0.089041095890411
38.0,125,0.304
83.0,310,0.267741935483871
1,9,0.111111111111111
3.0,43,0.0697674418604651
39.0,209,0.186602870813397
38.0,196,0.193877551020408
121.0,759,0.159420289855072
33.0,246,0.134146341463415
79.0,1230,0.0642276422764228
12.0,52,0.230769230769231
103.0,607,0.169686985172982
3984.0,29854,0.133449454009513
64.0,272,0.235294117647059
438.0,3581,0.122312203295169
31.0,204,0.151960784313725
23.0,155,0.148387096774194
35.0,207,0.169082125603865
296.0,1520,0.194736842105263
3.0,81,0.037037037037037
27.0,189,0.142857142857143
22,76,0.289473684210526
1,4,0.25
124.0,892,0.139013452914798
30.0,281,0.106761565836299
39.0,208,0.1875
11,62,0.17741935483871
10.0,94,0.106382978723404
18.0,91,0.197802197802198
509.0,3903,0.130412503202665
174.0,1172,0.148464163822526
1601.0,9100,0.175934065934066
11.0,85,0.129411764705882
12.0,86,0.13953488372093
50.0,172,0.290697674418605
7,52,0.134615384615385
16.0,189,0.0846560846560847
6,80,0.075
8.0,58,0.137931034482759
93.0,589,0.157894736842105
45.0,262,0.17175572519084
223.0,1314,0.169710806697108
281.0,1783,0.157599551318003
833.0,7174,0.116113744075829
27.0,267,0.101123595505618
86.0,428,0.200934579439252
74.0,492,0.150406504065041
14,51,0.274509803921569
2.0,60,0.0333333333333333
52.0,344,0.151162790697674
37.0,171,0.216374269005848
168.0,1015,0.16551724137931
42.0,243,0.17283950617284
11.0,58,0.189655172413793
418.0,2688,0.155505952380952
5.0,55,0.0909090909090909
1309.0,9224,0.141912402428448
272.0,1778,0.152980877390326
15.0,63,0.238095238095238
7,33,0.212121212121212
116.0,629,0.184419713831479
12,139,0.0863309352517986
25.0,247,0.101214574898785
32.0,196,0.163265306122449
19,81,0.234567901234568
212.0,1252,0.169329073482428
7.0,58,0.120689655172414
16.0,146,0.10958904109589
680.0,5795,0.117342536669543
118.0,573,0.205933682373473
1028.0,6455,0.159256390395043
1998.0,17527,0.113995549723284
2152.0,16572,0.129857591117548
29,116,0.25
38.0,173,0.219653179190751
12.0,105,0.114285714285714
100.0,659,0.151745068285281
1387.0,9463,0.146570854908591
10.0,48,0.208333333333333
14,62,0.225806451612903
29.0,324,0.0895061728395062
46.0,308,0.149350649350649
11.0,53,0.207547169811321
32.0,180,0.177777777777778
121.0,882,0.13718820861678
12.0,58,0.206896551724138
8.0,52,0.153846153846154
55.0,290,0.189655172413793
37.0,221,0.167420814479638
16,55,0.290909090909091
1337.0,8536,0.156630740393627
29.0,184,0.157608695652174
8.0,174,0.0459770114942529
82.0,378,0.216931216931217
109.0,598,0.182274247491639
