Origin,CarrierDelayCount,NasDelayCount,WeatherDelayCount,LateCraftDelayCount,SecurityDelayCount,TotalDelayCount
ABE,12,17,23,14,24,90
ABQ,90,95,181,79,184,629
ABR,8,1,16,10,16,51
ABY,7,6,9,4,9,35
ACT,5,7,10,7,10,39
ACV,36,13,42,14,43,148
ACY,73,18,105,78,104,378
ADK,3,1,4,4,2,14
ADQ,1,1,2,0,2,6
AEX,23,18,30,12,31,114
AGS,25,23,30,11,32,121
ALB,46,40,85,49,90,310
AMA,25,9,26,16,29,105
ANC,77,29,115,104,120,445
APN,12,6,13,3,13,47
ASE,95,55,148,79,162,539
ATL,1552,2285,3468,2378,3955,13638
ATW,39,16,49,24,52,180
AUS,203,203,357,168,369,1300
AVL,18,17,34,18,34,121
AVP,9,9,19,10,19,66
AZO,33,8,46,29,48,164
BDL,89,120,246,118,245,818
BET,5,1,6,4,7,23
BFL,18,6,21,9,21,75
BGM,9,8,14,4,13,48
BGR,1,0,1,1,1,4
BHM,54,52,95,48,99,348
BIL,16,7,21,13,21,78
BIS,20,12,34,18,34,118
BJI,4,4,7,3,7,25
BLI,10,2,14,14,14,54
BMI,18,7,21,11,21,78
BNA,307,225,405,231,481,1649
BOI,129,81,198,100,201,709
BOS,584,565,1245,819,1321,4534
BPT,5,5,8,3,8,29
BQK,5,2,10,4,10,31
BQN,24,20,38,10,38,130
BRD,12,4,15,11,16,58
BRO,11,11,18,9,18,67
BRW,4,3,5,5,6,23
BTM,4,2,3,3,4,16
BTR,44,40,84,43,86,297
BTV,18,12,34,22,38,124
BUF,98,106,184,78,200,666
BUR,189,139,266,71,273,938
BWI,360,549,935,506,942,3292
BZN,14,14,35,23,35,121
CAE,40,47,73,41,73,274
CAK,41,29,63,28,63,224
CDC,11,4,12,2,12,41
CDV,2,1,3,0,3,9
CHA,25,22,45,23,47,162
CHO,13,17,24,12,24,90
CHS,65,79,132,49,133,458
CID,33,21,43,22,44,163
CIU,5,6,10,5,10,36
CLE,199,150,346,198,363,1256
CLL,3,0,3,3,3,12
CLT,536,704,1430,885,1439,4994
CMH,154,105,241,134,250,884
CMX,9,4,18,6,18,55
COD,9,4,11,1,11,36
COS,56,43,96,71,105,371
CPR,14,4,14,9,15,56
CRP,11,7,12,3,12,45
CRW,27,17,39,27,42,152
CSG,13,8,17,5,17,60
CVG,124,66,182,103,190,665
CWA,6,4,11,7,11,39
DAB,9,8,12,6,15,50
DAL,272,544,752,361,773,2702
DAY,56,43,88,33,90,310
DCA,437,390,877,448,922,3074
DEN,1236,1164,2447,1430,2565,8842
DFW,904,1364,2400,1474,2451,8593
DHN,15,19,25,5,25,89
DLH,21,16,36,16,36,125
DRO,18,6,19,13,22,78
DSM,68,44,93,61,104,370
DTW,866,663,1551,1054,1641,5775
DVL,4,3,8,4,8,27
EAU,4,2,7,3,7,23
ECP,22,16,32,19,33,122
EGE,35,23,54,32,58,202
EKO,11,1,13,8,13,46
ELM,9,11,21,10,21,72
ELP,51,65,107,43,106,372
ERI,6,4,10,6,11,37
ESC,3,4,5,2,6,20
EUG,77,29,92,49,92,339
EVV,27,15,42,26,43,153
