OriginAirport,TotalDelayFlights,TotalFlights,DelayRatio
ABE,26,180,0.14
ABQ,188,1443,0.13
ABR,6,62,0.1
ABY,8,79,0.1
ACT,11,145,0.08
ACV,40,125,0.32
ACY,64,310,0.21
ADK,3,9,0.33
ADQ,3,43,0.07
AEX,28,208,0.13
AGS,34,196,0.17
ALB,80,758,0.11
AMA,22,246,0.09
ANC,63,1232,0.05
APN,12,52,0.23
ASE,140,607,0.23
ATL,4561,29870,0.15
ATW,42,270,0.16
AUS,395,3581,0.11
AVL,32,204,0.16
AVP,16,153,0.1
AZO,25,206,0.12
BDL,276,1520,0.18
BET,3,81,0.04
BFL,21,188,0.11
BGM,12,76,0.16
BHM,109,891,0.12
BIL,16,283,0.06
BIS,30,208,0.14
BJI,6,62,0.1
BLI,5,95,0.05
BMI,13,91,0.14
BNA,464,3898,0.12
BOI,153,1172,0.13
BOS,1375,9088,0.15
BPT,13,85,0.15
BQK,10,86,0.12
BQN,40,172,0.23
BRD,8,52,0.15
BRO,16,187,0.09
BRW,7,80,0.09
BTM,4,58,0.07
BTR,77,590,0.13
BTV,42,264,0.16
BUF,202,1307,0.15
BUR,263,1783,0.15
BWI,1075,7181,0.15
BZN,35,269,0.13
CAE,66,427,0.15
CAK,74,493,0.15
CDC,10,51,0.2
CDV,3,60,0.05
CHA,45,343,0.13
CHO,27,170,0.16
CHS,136,1015,0.13
CID,35,242,0.14
CIU,7,58,0.12
CLE,382,2680,0.14
CLL,2,54,0.04
CLT,1338,9213,0.15
CMH,228,1774,0.13
CMX,12,62,0.19
COD,8,33,0.24
COS,87,628,0.14
CPR,9,139,0.06
CRP,13,248,0.05
CRW,34,196,0.17
CSG,13,81,0.16
CVG,160,1253,0.13
CWA,9,57,0.16
DAB,18,147,0.12
DAL,978,5795,0.17
DAY,84,572,0.15
DCA,887,6447,0.14
DEN,2535,17519,0.14
DFW,2453,16565,0.15
DHN,24,116,0.21
DLH,33,173,0.19
DRO,12,105,0.11
DSM,98,656,0.15
DTW,1547,9489,0.16
DVL,6,48,0.13
EAU,9,62,0.15
ECP,28,323,0.09
EGE,48,309,0.16
EKO,6,53,0.11
ELM,21,179,0.12
ELP,110,879,0.13
ERI,8,58,0.14
ESC,6,52,0.12
EUG,74,291,0.25
EVV,39,220,0.18
EWN,7,55,0.13
EWR,1588,8526,0.19
EYW,27,184,0.15
FAI,8,174,0.05
FAR,68,374,0.18
FAT,114,598,0.19
FAY,23,154,0.15
FCA,15,138,0.11
FLG,14,157,0.09
FLL,1907,7678,0.25
FNT,31,296,0.1
FSD,67,343,0.2
FSM,10,148,0.07
FWA,42,308,0.14
GCC,6,88,0.07
GEG,100,857,0.12
GFK,11,94,0.12
GJT,17,188,0.09
GNV,34,194,0.18
GPT,31,264,0.12
GRB,31,241,0.13
GRK,10,214,0.05
